feat,imp_fold_1,imp_fold_2,imp_fold_3
stock_id,387,387,374
seconds_in_bucket,559,567,597
imbalance_size,656,642,654
reference_price,592,607,603
matched_size,1064,1099,1024
far_price,1194,1126,1148
near_price,918,867,963
bid_price,619,575,656
bid_size,579,563,541
ask_price,600,644,608
ask_size,574,545,528
wap,496,517,485
imbalance_to_matched_size,898,941,904
imbalance_flag_to_size,794,792,840
spread,564,548,538
bid_ask_imbalance,391,362,350
liquidity,301,336,313
price_diff_bid_to_wap,520,466,501
price_diff_ask_to_wap,505,509,515
size_diff_bid_to_wap,197,203,174
size_diff_ask_to_wap,200,212,213
wap_velocity,675,658,699
wap_momentum_5,1239,1204,1230
short_term_volatility,2361,2376,2392
price_impact,240,203,225
order_imbalance_ratio,189,173,162
price_skewness,393,350,338
time_decay,120,123,131
wap_acceleration,525,524,484
liquidity_ratio_change,470,485,451
order_imbalance_over_time,542,546,564
price_skewness_rate_of_change,488,538,572
avg_wap_by_market,1089,1102,1044
avg_near_price_by_market,1115,1140,1177
avg_matched_size_by_market,1624,1632,1581
avg_imbalance_to_matched_size_by_market,1137,1084,1131
avg_spread_by_market,649,624,645
avg_liquidity_by_market,555,628,583
avg_market_volatility,1720,1696,1718
avg_market_imbalance,571,599,583
avg_market_liquidity,119,130,115
avg_market_price_impact,883,964,941
avg_market_price_skewness,475,459,444
seconds_in_bucket_X_near_price,1171,1214,1188
matched_size_X_near_price,686,718,711
near_price_squared,210,208,194
matched_size_squared,189,172,180
seconds_in_bucket_X_imbalance_flag_to_size,885,900,924
seconds_in_bucket_squared,20,20,12
relative_wap_to_market,1124,1113,1161
relative_near_price_to_market,641,741,711
relative_matched_size_to_market,1422,1441,1455
relative_imbalance_to_matched_size_to_market,983,961,954
relative_spread_to_market,676,695,681
relative_liquidity_to_market,442,446,438
wap_mean_10,416,410,369
imbalance_size_mean_10,859,915,917
bid_price_mean_10,496,528,507
ask_price_mean_10,617,558,590
relative_wap_to_market_mean_10,940,860,841
wap_momentum_5_mean_10,1125,1040,1071
factorized,1597,1600,1643
