feat,t0_imp_fold_1_x,t0_imp_fold_2_x,t0_imp_fold_3_x,t0_imp_fold_4_x,t0_imp_fold_5_x,t0_imp_fold_1_y,t0_imp_fold_2_y,t0_imp_fold_3_y,t0_imp_fold_4_y,t0_imp_fold_5_y,t0_imp_fold_1,t0_imp_fold_2,t0_imp_fold_3,t0_imp_fold_4,t0_imp_fold_5
stock_id,11959.698298454285,10115.240010261536,13316.472289085388,13845.349193572998,13174.08400630951,11959.698298454285,10115.240010261536,13316.472289085388,13845.349193572998,13174.08400630951,11959.698298454285,10115.240010261536,13316.472289085388,13845.349193572998,13174.08400630951
seconds_in_bucket,9737.618208885193,7845.85359287262,7014.92407989502,6065.12490272522,6310.446397781372,9737.618208885193,7845.85359287262,7014.92407989502,6065.12490272522,6310.446397781372,9737.618208885193,7845.85359287262,7014.92407989502,6065.12490272522,6310.446397781372
imbalance_size,6446.749599456787,8608.626202583313,10020.836261749268,13655.582690238953,12171.593890190125,6446.749599456787,8608.626202583313,10020.836261749268,13655.582690238953,12171.593890190125,6446.749599456787,8608.626202583313,10020.836261749268,13655.582690238953,12171.593890190125
imbalance_buy_sell_flag,1608.374704360962,1740.035301208496,2794.91540145874,2631.263708114624,2183.6347074508667,1608.374704360962,1740.035301208496,2794.91540145874,2631.263708114624,2183.6347074508667,1608.374704360962,1740.035301208496,2794.91540145874,2631.263708114624,2183.6347074508667
reference_price,8247.662894248962,10113.087815284727,12859.287861824036,13193.784433364868,9201.88060951233,8247.662894248962,10113.087815284727,12859.287861824036,13193.784433364868,9201.88060951233,8247.662894248962,10113.087815284727,12859.287861824036,13193.784433364868,9201.88060951233
matched_size,25836.693517684937,20590.825793266296,20166.23672485352,24071.54020881653,21940.18074703217,25836.693517684937,20590.825793266296,20166.23672485352,24071.54020881653,21940.18074703217,25836.693517684937,20590.825793266296,20166.23672485352,24071.54020881653,21940.180747032166
far_price,6866.429105758667,8314.155301094055,6513.722617149353,5423.772603034973,5712.829303741455,6866.429105758667,8314.155301094055,6513.722617149353,5423.772603034973,5712.829303741455,6866.429105758667,8314.155301094055,6513.722617149353,5423.772603034973,5712.829303741455
near_price,6963.557486534119,4371.785194396973,6833.922814369202,7611.617084503174,6769.418885231018,6963.557486534119,4371.785194396973,6833.922814369202,7611.617084503174,6769.418885231018,6963.557486534119,4371.785194396973,6833.922814369202,7611.617084503174,6769.418885231018
bid_price,8566.906723022461,8739.603391647339,9312.565892219543,5454.964805603027,8556.34656047821,8566.906723022461,8739.603391647339,9312.565892219543,5454.964805603027,8556.34656047821,8566.906723022461,8739.603391647339,9312.565892219543,5454.964805603027,8556.34656047821
bid_size,97074.82271289824,104579.8944797516,92648.12606143951,89526.29269695282,88198.57652282715,97074.82271289824,104579.8944797516,92648.12606143951,89526.29269695282,88198.57652282715,97074.82271289824,104579.8944797516,92648.12606143951,89526.29269695282,88198.57652282715
ask_price,9709.333387374878,10168.307182312012,13494.743034362791,8507.739121437073,7052.792984008789,9709.333387374878,10168.307182312012,13494.743034362791,8507.739121437073,7052.792984008789,9709.333387374878,10168.307182312012,13494.743034362791,8507.739121437073,7052.792984008789
ask_size,103879.50541114809,94448.29477882384,102904.08156585692,97928.8564710617,91583.08591747284,103879.50541114809,94448.29477882384,102904.08156585692,97928.8564710617,91583.08591747284,103879.50541114809,94448.29477882384,102904.08156585692,97928.8564710617,91583.08591747284
wap,11178.85640144348,14767.403486251833,17892.81090068817,13101.624192237854,11327.481615066528,11178.85640144348,14767.403486251833,17892.81090068817,13101.624192237854,11327.481615066528,11178.85640144348,14767.403486251833,17892.81090068817,13101.624192237854,11327.481615066528
time_id,19324.527309417725,24940.85360717773,21136.44860172272,24824.15800666809,23114.632676124573,19324.527309417725,24940.85360717773,21136.44860172272,24824.15800666809,23114.632676124573,19324.527309417725,24940.85360717773,21136.44860172272,24824.15800666809,23114.632676124573
